Nombre Buque;Cód UE;Pareja;Cód UE Pareja;Puerto Venta;Puerto Base;Trimestre;Trimestre Desembarco;Año;Año construcción;TRB;GT;Potencia CV;Potencia KW;Eslora total;Eslora PP;Zona;Metier;Especie Oficial;Especie Científico;Especie Inglés;Especie ALFA3;Kg Desembarcados;Kg Desemb Peso Vivo;Precio por Kg;Precio Total
Beti Aingeru;ESP000025321;;;Ondarroa;Orio;2;2;2019;2002;133;162;800;;33,28;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;17537,55;17537,55;1,889287557;33133,475
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;2;2;2020;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;8466;8466;0,750392157;6352,82
Beti Iskander (ex Herbosa);ESP000023352;;;Santurtzi;Santurtzi;4;4;2019;1996;3,85;4,13;21;;8,8;;27.8.c;LLS_DEF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;24,5;24,5;3,455102041;84,65
Beti Itxas Argi;ESP000023206;;;Hondarribia;Bermeo;1;1;2020;1996;82,84;111,03;402;;26;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;94432,2;94432,2;0,813348095;76806,25
Beti Euskal Herria;ESP000021353;;;Bermeo;Bermeo;4;4;2019;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;973;973;0,168869476;164,31
Beti Euskal Herria;ESP000021353;;;Ondarroa;Bermeo;4;4;2020;1989;70,68;82,3;260;;24;;27.8.c;PS_SPF_0_0_0;Sardina;Sardina pilchardus;Pilchard;PIL;754,8;754,8;0,51;384,948
Beti Gure Iskander (ex Martin Albizu Anaiak);ESP000027112;;;Ondarroa;Santurtzi;1;1;2019;2008;49,17;33,24;128;;16,52;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;31282,7;31282,7;1,391725874;43536,943
Beti Gure Iskander (ex Martin Albizu Anaiak);ESP000027112;;;Ondarroa;Santurtzi;2;2;2020;2008;49,17;33,24;128;;16,52;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;15670,4;15670,4;0,778242419;12195,37
Beti Lagun Bi;ESP000026670;;;Bermeo;Bermeo;1;1;2020;2006;59,81;97,38;388;;23,45;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;76934;76934;0,741730834;57064,32
Beti Oitz;ESP000025804;;;Ondarroa;Ondarroa;1;1;2019;2003;18,72;16,32;12,2;;14,6;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;17252,3;17252,3;1,601582514;27630,982
Beti Oitz;ESP000025804;;;Ondarroa;Ondarroa;2;2;2020;2003;18,72;16,32;12,2;;14,6;;27.8.c;LHM_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;21536,4;21536,4;0,84132218;18119,051
Beti Piedad;ESP000025229;;;Getaria;Getaria;2;2;2020;2001;149,94;231;500;;36;;27.8.c;PS_SPF_0_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;21800,5;21800,5;0,78;17004,39
Beti Piedad;ESP000025229;;;Getaria;Getaria;4;4;2020;2001;149,94;231;500;;36;;27.8.c;PS_SPF_0_0_0;Anchoa - Boqueron;Engraulis encrasicolus;Anchovy;ANE;79,29;79,29;;
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;1;1;2019;2001;3,96;3,63;30;;10,05;;27.8.c;GTR_DEF_60-79_0_0;Verdel - Caballa;Scomber scombrus;Mackerel;MAC;1,4;1,4;1,93;2,702
Beti Salada Segundo;ESP000024915;;;Pasaia;Pasaia;3;3;2019;2001;3,96;3,63;30;;10,05;;27.8.c;GNS_DEF_60-79_0_0;Chicharro Negro;Trachurus trachurus;Atlantic (Scad) Horse mackerel;HOM;171,2;171,2;0,21473822;36,76318325
