"Nombre_Buque","Puerto_Base","Censo","Trip","Fecha_Desembarco","Dia","Mes","Ano","Zona2","Metier","Peso","Metier_Rev","check"
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538671,2020-10-13,14,10,2020,"27.8.c","PTB_MPD_>=55_0_0",2400.667,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538674,2020-10-14,15,10,2020,"27.8.c","PTB_MPD_>=55_0_0",646.2674,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",538829,2020-10-18,19,10,2020,"27.8.c","PTB_MPD_>=55_0_0",4801.533,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539074,2020-10-21,22,10,2020,"27.8.c","PTB_MPD_>=55_0_0",4584.2189,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539211,2020-10-26,26,10,2020,"27.8.c","PTB_MPD_>=55_0_0",4343.2653,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539256,2020-09-17,17,9,2020,"27.8.c","PTB_MPD_>=55_0_0",2741.13,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539371,2020-10-31,2,11,2020,"27.8.c","PTB_MPD_>=55_0_0",2145.5538,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539657,2020-11-05,5,11,2020,"27.8.c","PTB_MPD_>=55_0_0",8370.581,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",539788,2020-11-08,9,11,2020,"27.8.c","PTB_MPD_>=55_0_0",11833.452,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",540010,2020-11-11,12,11,2020,"27.8.c","PTB_MPD_>=55_0_0",9661.443,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552160,2020-11-15,16,11,2020,"27.8.c","PTB_MPD_>=55_0_0",5636.6848,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552219,2020-11-16,17,11,2020,"27.8.c","PTB_MPD_>=55_0_0",2601.0808,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552399,2020-11-19,20,11,2020,"27.8.c","PTB_MPD_>=55_0_0",1898.222,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552471,2020-11-22,23,11,2020,"27.8.c","PTB_MPD_>=55_0_0",8611.8822,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552569,2020-11-24,25,11,2020,"27.8.c","PTB_MPD_>=55_0_0",5848.4536,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552644,2020-10-28,28,10,2020,"27.8.c","PTB_MPD_>=55_0_0",554.08,"PTB_MPD_>=55_0_0",TRUE
"AKETXE","Ondarroa","ARRASTRE DE FONDO EN CANTABRICO NW",552671,2020-11-25,26,11,2020,"27.8.c","PTB_MPD_>=55_0_0",1733.95,"PTB_MPD_>=55_0_0",TRUE
