"IdBuque","fcCambio","Nombre","CodigoCFR","EsloraTotal","EsloraPP","ArqueoGT","FechaCambioDatosTecnicos","FechaCambioDatosMotor","PotenciaPropulsionTotalKW","FcCambioIdentificacion","PuertoBase","AL5_PuertoBase","ProvinciaPuertoBase","CensoPorModalidad","FcEfectoInicial","fcCambio2"
74346753,2018-01-15,"MARDEMARIA","ESP000058755",6.75,NA,1.93,2011-01-13,2011-01-13,11.03248,2018-01-15,"Bayona","ESBYN","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2011-01-13,2018-01-15
74346753,2019-10-04,"MARDEMARIA","ESP000058755",6.75,NA,1.93,2011-01-13,2019-10-04,22.06,2018-01-15,"Bayona","ESBYN","PONTEVEDRA","ARTES MENORES EN CANTABRICO NW",2011-01-13,2019-10-04
74495391,2011-01-24,"PORTUGUES","ESP000027415",11.35,9.08,6.91,2011-01-24,2011-01-24,69.87238,2011-01-24,"Benicarlo","ESBNI","CASTELLON","ARTES MENORES EN EL MEDITERRANEO",2011-01-24,2011-01-24
74495408,2011-01-24,"CAIN","ESP000027416",8.08,NA,3,2011-01-24,2011-01-24,58.8399,2011-01-24,"Candelaria","ESCEI","SANTA CRUZ DE TENERIFE","ARTES MENORES EN CANARIAS",2011-01-24,2011-01-24
74539442,2018-03-26,"PERCEBERUCHA","ESP000058757",6.3,5.04,1.64,2011-01-28,2018-03-26,58.8399,2011-01-28,"La Coruña","ESLCG","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2011-01-28,2018-03-26
74564133,2011-04-07,"NUEVO FRANCES","ESP000027417",11.98,10.49,9.76,2011-01-31,2011-01-31,66.19488,2011-03-07,"Cudillero","ESCLO","PRINCIPADO DE ASTURIAS","PALANGRE DE FONDO EN CANTABRICO NW",2011-04-07,2011-04-07
74615660,2011-02-04,"LA AURORA","ESP000058759",6.98,5.58,2.69,2011-02-04,2011-02-04,18.38746,2011-02-04,"Ayamonte","ESAYA","HUELVA","ARTES MENORES  EN EL GOLFO DE CADIZ",2011-02-04,2011-02-04
74616896,2011-02-04,"MARIA MAR QUATRE","ESP000027418",6.8,5.7,1.52,2011-02-04,2011-02-04,19.85846,2011-02-04,"Arenys de Mar","ESARN","BARCELONA","ARTES MENORES EN EL MEDITERRANEO",2011-02-04,2011-02-04
74801051,2011-02-23,"CAPI","ESP000058763",6.3,NA,1.53,2011-02-23,2011-02-23,29.41995,2011-02-23,"Santa Eugenia de Riveira","ESSNI","LA CORUÑA","ARTES MENORES EN CANTABRICO NW",2011-02-23,2011-02-23
74837246,2011-02-25,"NUEVO NAUTILUS","ESP000027421",17.7,15,32.45,2011-02-25,2011-02-25,180.19719,2011-02-25,"Malpica de Bergantiños","ESMAI","LA CORUÑA","PALANGRE DE FONDO EN CANTABRICO NW",2011-02-25,2011-02-25
